"구분","1h","2h","3h","4h","5h","6h","7h","8h","9h","10h","11h","12h","13h","14h","15h","16h","17h","18h","19h","20h","21h","22h","23h","24h","최소","최대","평균"
"20220101","160.07","160.07","160.07","124.73","103.55","130.44","119.99","103.59","92.69","90.62","88.17","87.44","87.39","87.39","87.41","90.98","137.66","154.89","155.63","155.76","156.04","155.29","156.31","156.31","87.39","160.07","126.81"
"20220102","147.47","93.03","91.4","87.96","89.39","92.05","94.36","94.64","93.03","89.67","89.69","89.69","89.42","88.78","88.15","93.03","150.1","156.04","156.17","156.17","156.17","155.09","155.2","155.52","87.96","156.17","116.43"
"20220103","124","122.79","88.64","88.64","122.69","90.47","162.82","162.82","166.28","166.28","162.82","162.82","162.82","168.95","168.95","170.88","172.74","171.48","171.27","169.68","162.82","162.82","162.82","162.82","88.64","172.74","154.25"
"20220104","156.58","161.69","156.58","156.58","156.58","156.58","156.58","165.03","165.56","196.49","166.72","166.72","161.39","166.72","166.72","166.72","166.72","162.73","162.65","161","160.72","157.28","156.26","161.21","156.26","196.49","163.53"
"20220105","156.58","156.58","156.58","156.58","156.58","160.05","160.27","165.35","165.83","166.88","166.88","166.86","161.63","166.88","166.87","166.87","166.87","162.76","162.26","161.09","158.79","157.37","156.58","161.21","156.58","166.88","162.22"
"20220106","161.69","156.58","156.58","156.58","161.69","161.69","157.49","162.7","165.43","166.24","176.71","162.25","158.93","162.24","164.45","164.97","164.97","164.97","162.95","161.98","161.21","161.21","156.45","161.21","156.45","176.71","162.41"
"20220107","157","154.64","150.14","153.26","153.26","161.26","156.52","161.86","170.88","170.88","170.75","170.62","161.64","164.75","167.55","167.54","172.47","170.91","171.09","167.68","161.21","157.92","156.27","161.21","150.14","172.47","163.59"
"20220108","154.97","155.06","143.96","123.75","123.75","123.75","156.77","155.68","164.6","164.31","155.72","113.74","87.65","87.65","87.65","123.52","113.74","157.09","157.22","157.22","147.43","113.74","156.34","156.42","87.65","164.6","137.7"
"20220109","154.01","124.89","104.11","92.33","103.15","124.66","125.75","135.55","135.55","100.53","108.94","87.37","87.37","87.37","124.65","92.33","153.54","158.24","164.95","164.95","164.95","164.95","164.95","164.95","87.37","164.95","130.27"
"20220110","111.95","121.32","88.65","88.65","121.21","90.83","155.94","163.19","165.97","165.97","162.72","162.89","159.01","167.58","170.13","167.58","173.03","173.02","167.04","167.04","159.93","157.49","157.2","161.21","88.65","173.03","152.16"
