구분,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,최소,최대,평균
20200101,88.55,88.49,83.16,83.11,80.92,81.65,80.95,79.82,80.95,78.4,80.95,78.51,78.53,77.83,78.52,80.95,80.55,81.58,82.0,84.15,81.87,81.87,84.15,84.15,77.83,88.55,81.85
20200102,80.67,82.6,79.44,79.04,82.6,80.21,82.6,86.65,89.32,89.69,88.0,87.73,86.8,87.44,87.44,87.44,87.48,87.48,87.49,87.49,84.63,84.1,84.1,84.1,79.04,89.69,85.52
20200103,83.0,81.71,82.6,81.26,81.31,82.6,88.64,88.86,89.22,89.84,87.7,87.62,84.9,85.06,85.35,86.72,87.74,87.82,87.91,87.91,84.22,83.38,82.56,84.07,81.26,89.84,85.68
20200104,83.93,81.34,81.34,81.35,81.35,82.58,83.93,84.6,84.59,84.58,84.55,84.07,79.9,81.12,82.58,84.6,84.6,85.39,85.4,85.4,84.72,82.73,82.73,85.41,79.9,85.41,83.49
20200105,87.33,87.2,86.96,78.87,79.34,79.38,82.54,80.5,82.54,80.59,82.54,81.95,78.27,79.34,80.31,80.6,81.95,82.85,83.68,83.72,82.79,81.59,81.6,83.8,78.27,87.33,82.14
20200106,82.3,80.31,78.87,77.92,79.0,82.1,81.29,88.33,89.76,90.89,88.32,88.0,84.81,87.5,87.5,87.5,87.5,87.5,86.62,84.95,84.26,83.74,83.02,83.74,77.92,90.89,85.25
20200107,83.4,82.6,82.13,81.94,82.13,82.37,84.57,88.37,89.27,89.5,88.36,88.29,84.99,86.77,86.82,86.82,87.6,87.6,87.6,87.59,84.63,84.18,84.04,84.17,81.94,89.5,85.84
20200108,83.41,82.5,87.6,81.5,82.09,82.6,84.53,91.0,89.97,91.0,91.0,88.72,85.02,86.75,88.53,87.58,90.06,88.55,86.83,85.97,84.22,84.11,84.07,84.12,81.5,91.0,86.53
20200109,83.25,87.18,87.18,81.24,81.92,81.92,83.24,84.09,88.66,88.66,88.52,88.3,86.68,88.22,89.47,89.22,89.47,87.51,86.49,85.56,84.08,83.67,82.91,83.75,81.24,89.47,86.1
20200110,83.28,82.6,81.25,81.23,82.97,82.97,82.97,84.41,88.3,88.36,88.3,88.19,87.11,88.08,88.08,88.05,88.08,87.29,86.7,86.7,84.36,84.12,84.0,84.2,81.23,88.36,85.72
20200111,83.76,82.63,82.58,81.22,81.22,82.93,84.36,84.55,84.54,84.54,84.54,84.08,79.37,81.18,81.18,83.33,83.99,84.34,84.35,84.35,85.01,83.54,83.59,85.15,79.37,85.15,83.39
20200112,84.78,84.52,80.24,80.24,80.24,82.72,83.22,83.17,83.12,82.96,82.58,81.71,79.16,79.63,82.1,81.58,81.94,83.61,83.75,83.75,83.11,82.92,82.92,82.92,79.16,84.78,82.42
20200113,82.93,82.45,79.38,78.93,79.4,81.21,82.41,84.02,88.66,88.66,88.66,88.49,87.77,88.11,88.75,88.59,88.63,88.59,87.03,86.48,84.7,84.02,83.98,84.31,78.93,88.75,85.7
20200114,83.54,83.36,81.97,81.94,81.97,83.34,83.97,88.72,89.48,89.48,88.72,89.38,87.03,88.31,88.31,88.31,88.31,88.31,87.76,87.48,86.73,84.72,84.72,84.72,81.94,89.48,86.48
20200115,83.55,83.27,81.94,81.94,81.94,83.14,83.95,88.65,88.65,88.65,88.21,88.42,86.71,87.36,87.36,88.01,88.13,88.13,88.13,87.58,86.72,84.72,84.72,84.72,81.94,88.65,86.21
20200116,84.27,82.91,82.6,81.95,81.95,83.03,83.99,88.72,89.56,89.73,89.13,89.11,87.02,88.32,88.32,88.29,88.32,88.32,88.28,88.28,86.76,85.4,84.7,84.7,81.95,89.73,86.62
20200117,84.04,82.93,82.13,81.95,81.95,83.19,84.03,88.23,89.88,90.03,88.18,88.5,86.83,86.84,88.27,88.22,88.27,88.29,88.13,88.13,86.83,84.83,84.83,84.83,81.95,90.03,86.41
20200118,83.59,83.17,82.62,82.94,82.94,83.72,84.48,84.51,84.51,84.51,84.51,84.51,81.22,82.58,83.26,83.52,84.62,84.63,84.63,84.63,84.53,83.88,83.89,83.89,81.22,84.63,83.82
20200119,85.0,84.92,84.84,79.58,79.53,82.47,83.41,83.3,83.24,81.6,81.8,79.64,79.2,79.23,81.1,79.86,81.14,82.82,84.07,84.07,83.64,82.4,83.6,84.07,79.2,85.0,82.35
20200120,83.46,81.6,79.81,79.38,79.81,81.11,83.42,84.07,88.43,88.47,88.47,88.39,87.0,88.17,88.33,87.58,88.33,88.33,88.16,87.5,86.93,84.76,84.76,84.76,79.38,88.47,85.82
20200121,83.59,82.99,83.25,81.96,81.97,82.68,84.01,88.23,89.88,89.95,88.56,88.3,84.82,86.87,86.86,87.5,87.62,87.62,87.67,87.67,84.98,84.39,84.12,84.41,81.96,89.95,86.01
